,p300_processed_1.csv,h3k27ac_processed_5.csv,h3k27ac_processed_4.csv,h3k27ac_processed_3.csv,h3k27ac_processed_2.csv,h3k27ac_processed_1.csv,H3K27ac_1.csv,Dnase_processed_6.csv,Dnase_processed_5.csv,Dnase_processed_4.csv,Dnase_processed_3.csv,Dnase_processed_2.csv,Dnase_processed_1.csv
0,32.9424,110.276,22.7971,29.6608,31.9963,29.4582,0.0422447,0.0223041,0.00626678,0.0170719,0.023341,0.00124489,0.045227
1,5.12937,13.1517,1.30025,4.22123,11.1947,7.15335,0.0242877,0.0145677,0.0275463,0.200266,0.0550052,0.0953082,0.0
2,31.723,101.766,34.0402,29.5577,5.17299,11.1219,0.488375,0.172458,0.112536,0.261098,1.60181,2.44417,0.103914
3,10.6,68.9742,15.916,21.2968,6.72922,5.31437,0.0290024,0.0336201,0.0679351,0.261203,1.02144,1.5022,0.717979
4,11.0324,51.8985,9.87764,9.67235,13.6965,8.72115,0.123468,0.0416219,0.0683618,0.0637714,0.532453,0.432742,0.0339203
5,0.238385,4.01996,0.956641,2.98229,0.970633,0.202598,0.0416509,0.00294506,0.00144618,0.0176796,0.0361458,0.0593952,0.0
6,0.950709,13.5478,1.64502,1.90037,1.51345,0.649806,0.0670422,0.00327772,0.0223556,0.219982,0.103646,0.206333,0.0113067
7,1.17464,10.7629,2.1844,10.7827,0.853122,1.7761,0.000411489,0.0153074,0.00214091,0.00746636,0.0261351,0.0370808,0.0113067
8,0.730129,8.31342,0.188372,1.90295,0.0102041,0.166147,0.030656,0.00203147,0.0,0.00346118,0.0445405,0.0132159,0.0
9,4.86078,28.4234,11.0068,7.13539,4.83509,2.65948,0.00474193,0.0275576,0.00867708,0.0188033,0.180589,0.320948,0.0113067
10,4.69606,35.6807,9.30801,19.9562,6.61563,2.0996,0.0504044,0.102377,0.110608,0.00874368,0.0653916,0.305951,0.0096915
11,5.59697,43.3664,7.04242,6.93407,2.10855,0.930148,0.0458125,0.000983317,0.0152749,0.0989913,0.430872,0.390104,0.0339203
12,1.89715,25.8569,2.33078,6.67587,2.49241,2.538,0.139988,0.00742951,0.150802,0.0434942,0.46442,0.484253,0.0113067
13,3.35289,18.2356,4.06257,4.15139,9.28508,4.49443,0.106347,0.030287,0.0334343,0.291084,0.680457,0.3946,0.032305
14,7.79209,83.8452,12.3405,12.4728,18.481,10.451,0.288048,0.072853,0.157314,0.239764,1.46464,1.6401,0.045227
15,4.84734,35.4816,4.38034,5.74717,4.63439,5.30471,0.296932,0.0555291,0.0455951,0.101315,1.13436,2.06076,0.0226135
16,30.1529,139.406,28.1952,32.933,33.4452,19.0261,0.224188,0.232034,0.191607,0.22239,3.11484,3.28329,0.0549185
17,2.24743,17.7617,2.06625,1.34512,2.56624,0.679294,0.133737,0.0162276,0.00795399,0.0787725,0.0983697,0.277374,0.0
18,1.36722,14.9638,1.45813,2.58051,0.868477,0.50179,0.0203508,0.0370747,0.0218649,0.029369,0.247172,0.467411,0.0209983
19,0.355774,15.0118,4.9438,9.04301,2.79904,0.702362,0.0114157,0.0178843,0.0354898,0.0123064,0.049325,0.168535,0.113068
20,1.89315,25.2027,4.46556,5.43778,1.16837,1.60873,0.146632,0.0985105,0.107508,0.165798,0.277922,0.339938,0.0113067
21,1.94732,16.2323,3.41682,3.69975,1.25157,2.61405,0.0309033,0.0152414,0.146466,0.00619559,0.0223217,0.0330453,0.0113067
22,22.366,87.9369,52.1946,65.26,21.8764,16.7965,0.610799,0.260501,0.376588,0.389006,0.321428,1.50545,0.0621871
23,53.8252,170.318,73.3476,61.6767,90.6082,46.682,0.376733,0.346406,0.137887,0.378395,0.254462,0.454671,0.0436118
24,0.818446,12.41,1.23805,1.0504,2.37916,0.635121,0.169869,0.00262218,0.0625591,0.0422611,0.14123,0.193801,0.0096915
25,2.19122,18.6428,1.40251,6.48242,8.06151,3.87813,0.0109204,0.0657328,0.0313224,0.17245,0.0884046,0.0653224,0.0
26,1.1989,6.78517,0.936962,2.4279,5.50801,1.56666,0.00921666,0.0511531,0.00072309,0.0200811,0.0677529,0.0341526,0.0
27,5.01355,49.6148,8.87982,18.8908,17.7676,6.40009,0.0676731,0.0567576,0.0587534,0.259032,0.116397,0.200618,0.032305
28,4.39073,29.5786,4.38315,11.4338,7.2583,7.20919,0.00311976,0.000655545,0.0,0.0372011,0.1953,0.0340838,0.0113067
29,0.295363,19.7602,0.706257,4.68406,4.30179,1.11184,0.24665,0.377879,0.116217,0.0402331,0.343467,0.215472,0.135681
30,3.8006,21.8175,2.414,6.0725,2.71319,2.54055,0.119729,0.00355867,0.0186524,0.142489,0.122915,0.191729,0.0
31,9.00323,66.2133,24.9399,21.5895,7.45752,6.57764,0.227241,0.112721,0.0212717,0.262539,0.128697,0.300603,0.0226135
32,3.18858,20.4011,0.91378,9.10331,2.86303,0.591699,0.131545,0.0240366,0.0,0.0457639,0.0408882,0.0733258,0.0113067
33,0.0493802,6.98181,0.339672,0.0952198,0.0529204,0.154905,0.0117687,0.00529733,0.00123605,0.0623884,0.111283,0.06342,0.0
34,37.1569,147.327,53.0984,55.3041,55.6029,42.9841,0.185403,0.310238,0.114409,0.297333,0.813418,1.12916,0.0436118
35,5.53544,53.8699,7.95087,8.47809,13.2617,8.91439,0.0888218,0.409391,0.0578946,0.479751,0.420106,0.206804,0.501535
