,h3k27ac_processed_4.csv,h3k27ac_processed_3.csv,h3k27ac_processed_2.csv,h3k27ac_processed_1.csv,H3K27ac_1.csv,GSM759878_E10_5_hindlimb_H3K27me3_ChIP_seq_rep1_1_all_RPM.csv,GSM759864_E10_5_forelimb_H3K27ac_ChIP_seq_rep1_index_6_1_all_RPM.csv,GSM1036127_ChIPSeq_Smc1a_e11_5limb_rep1_1_all_RPM.csv,ENCFF002DTF_limb_H3K36me3-mouse_115_day_b1_t1_all_RPM.csv,ENCFF002BGH_limb_H3K4me2-mouse_115_day_b2_t1_all_RPM.csv,ENCFF001ZUQ_limb_H3K4me3-mouse_115_day_b1_t1_all_RPM.csv,ENCFF001ZTO_limb_H3K27me3-mouse_115_day_b1_t1_all_RPM.csv,ENCFF001ZSS_limb_H3K9ac-mouse_115_day_b1_t1_all_RPM.csv,ENCFF001ZRY_limb_H3K4me1-mouse_115_day_b1_t1_all_RPM.csv,Dnase_processed_6.csv,Dnase_processed_5.csv,Dnase_processed_4.csv,Dnase_processed_3.csv,Dnase_processed_2.csv,Dnase_processed_1.csv
0,0.172963,0.228148,0.25037,0.227407,0.00136751,0.00188034,0.0282143,0.00169961,0.00143869,0.000320871,0.000965882,0.00042673,0.0227009,0.00042673,0.000534148,0.000160687,0.000415758,0.000352924,3.87298e-05,0.00100504
1,0.0359447,0.101382,0.247926,0.162212,0.00179432,0.00382062,0.000381234,0.000416987,0.00233705,0.000598861,0.00101484,0.00113776,0.00381013,0.00113776,0.000483351,0.000666442,0.00379355,0.00118988,0.00199985,0
2,0.274361,0.248802,0.0535144,0.0990415,0.00705104,0.00422246,0.00143166,0.00103247,0.00601131,0.000648726,0.00140022,0.00371392,0.00128256,0.00371392,0.00251327,0.00173264,0.0026898,0.00903497,0.012779,0.0018965
3,0.151394,0.195219,0.07251,0.0633466,0.00649927,0.00256082,0.00280154,0.00164801,0.00174105,0.00116491,0.00116598,0.000885277,0.00132033,0.000885277,0.000574581,0.00149804,0.00265356,0.0063559,0.00861352,0.00756787
4,0.0822357,0.0843717,0.117836,0.0765397,0.00599865,0.00255354,0.00147255,0.00158764,0.00184382,0.00204328,0.000422938,0.00125981,0.00387993,0.00125981,0.000746794,0.000772257,0.000799249,0.00330475,0.00264311,0.000724534
5,0.0217391,0.0618207,0.0210598,0.00543478,9.12125e-05,0.00139226,0.000140502,0.00166851,0.000696378,0.000367846,0.000413387,0.00106227,0.00134619,0.00106227,0.000356274,0.000196492,0.000610079,0.000751758,0.000941275,0
6,0.0243024,0.0292529,0.0229523,0.0121512,0.000362551,0.000733665,0.00248208,0.00174526,0.000242804,0.000487371,0.000117366,0.00100002,0.00146071,0.00100002,0.000295025,0.000585762,0.00212182,0.00135571,0.0017648,0.000305313
7,0.0623722,0.226994,0.0306748,0.0531697,0.000755068,0.001143,0.0157194,0.00158608,0.000606811,0.000885841,0.000355539,8.41492e-05,0.00674222,8.41492e-05,0.00107247,0.000295742,0.000688678,0.00056574,0.000641535,0.000693666
8,0.00894855,0.0581655,0.00111857,0.00894855,0.000600738,0.00375119,0.000539797,0.000289185,0.000482783,0.000121134,0.000583418,0.00138084,0.00126113,0.00138084,0.000439963,0,0.000418548,0.00165039,0.000438634,0
9,0.20056,0.14459,0.0942164,0.0662313,0.00263018,0.00182485,0.000964644,0.00030146,0.00140917,0.000707144,0.0032166,0.000460623,0.000223094,0.000460623,0.00134533,0.000404715,0.000837721,0.00206453,0.00487735,0.00063284
