,p300_processed_1.csv,h3k27ac_processed_5.csv,h3k27ac_processed_4.csv,h3k27ac_processed_3.csv,h3k27ac_processed_2.csv,h3k27ac_processed_1.csv,Dnase_processed_6.csv,Dnase_processed_5.csv,Dnase_processed_4.csv,Dnase_processed_3.csv,Dnase_processed_2.csv,Dnase_processed_1.csv
0,32.9424,110.276,22.7971,29.6608,31.9963,29.4582,29.4582,31.9963,29.6608,22.7971,110.276,32.9424
1,5.12937,13.1517,1.30025,4.22123,11.1947,7.15335,7.15335,11.1947,4.22123,1.30025,13.1517,5.12937
2,31.723,101.766,34.0402,29.5577,5.17299,11.1219,11.1219,5.17299,29.5577,34.0402,101.766,31.723
3,10.6,68.9742,15.916,21.2968,6.72922,5.31437,5.31437,6.72922,21.2968,15.916,68.9742,10.6
4,11.0324,51.8985,9.87764,9.67235,13.6965,8.72115,8.72115,13.6965,9.67235,9.87764,51.8985,11.0324
5,0.238385,4.01996,0.956641,2.98229,0.970633,0.202598,0.202598,0.970633,2.98229,0.956641,4.01996,0.238385
6,0.950709,13.5478,1.64502,1.90037,1.51345,0.649806,0.649806,1.51345,1.90037,1.64502,13.5478,0.950709
7,1.17464,10.7629,2.1844,10.7827,0.853122,1.7761,1.7761,0.853122,10.7827,2.1844,10.7629,1.17464
8,0.730129,8.31342,0.188372,1.90295,0.0102041,0.166147,0.166147,0.0102041,1.90295,0.188372,8.31342,0.730129
9,4.86078,28.4234,11.0068,7.13539,4.83509,2.65948,2.65948,4.83509,7.13539,11.0068,28.4234,4.86078
10,4.69606,35.6807,9.30801,19.9562,6.61563,2.0996,2.0996,6.61563,19.9562,9.30801,35.6807,4.69606
11,5.59697,43.3664,7.04242,6.93407,2.10855,0.930148,0.930148,2.10855,6.93407,7.04242,43.3664,5.59697
12,1.89715,25.8569,2.33078,6.67587,2.49241,2.538,2.538,2.49241,6.67587,2.33078,25.8569,1.89715
13,3.35289,18.2356,4.06257,4.15139,9.28508,4.49443,4.49443,9.28508,4.15139,4.06257,18.2356,3.35289
14,7.79209,83.8452,12.3405,12.4728,18.481,10.451,10.451,18.481,12.4728,12.3405,83.8452,7.79209
15,4.84734,35.4816,4.38034,5.74717,4.63439,5.30471,5.30471,4.63439,5.74717,4.38034,35.4816,4.84734
16,30.1529,139.406,28.1952,32.933,33.4452,19.0261,19.0261,33.4452,32.933,28.1952,139.406,30.1529
17,2.24743,17.7617,2.06625,1.34512,2.56624,0.679294,0.679294,2.56624,1.34512,2.06625,17.7617,2.24743
